Pressure_kPa,Temperature_C,Position_m,Temperature_K,Volume
123.542,22.76,0.3196,295.90999999999997,0.004919859759227761
124.298,22.79,0.3178,295.94,0.004892150912023099
125.323,22.94,0.3161,296.09,0.004865981445218695
125.929,22.84,0.3144,295.98999999999995,0.004839811978414293
126.875,22.83,0.3125,295.97999999999996,0.004810563750809372
127.634,22.87,0.3106,296.02,0.00478131552320445
128.323,22.99,0.3091,296.14,0.004758224817200565
128.792,22.97,0.3077,296.12,0.004736673491596939
129.317,23.02,0.3063,296.16999999999996,0.004715122165993313
129.966,23.0,0.3049,296.15,0.004693570840389688
130.755,23.05,0.3032,296.2,0.004667401373585285
131.514,23.11,0.3015,296.26,0.004641231906780881
132.511,23.04,0.2994,296.19,0.004608904918375443
133.385,23.01,0.2975,296.15999999999997,0.004579656690770521
134.469,23.05,0.2955,296.2,0.004548869082765342
135.319,23.09,0.2933,296.23999999999995,0.004515002713959644
136.938,23.09,0.2909,296.23999999999995,0.004478057584353428
138.429,23.12,0.288,296.27,0.004433415552745916
140.263,23.24,0.2851,296.39,0.004388773521138406
141.79,23.25,0.2823,296.4,0.004345670869931153
143.046,23.31,0.2798,296.46,0.004307186359924679
143.944,23.23,0.2779,296.38,0.004277938132319757
144.898,23.26,0.2762,296.40999999999997,0.004251768665515355
145.425,23.31,0.2747,296.46,0.0042286779595114695
146.395,23.36,0.2731,296.51,0.004204047873107326
147.369,23.5,0.2715,296.65,0.004179417786703182
147.967,23.42,0.27,296.57,0.0041563270806992975
148.817,23.4,0.2687,296.54999999999995,0.004136315135495929
149.101,23.43,0.2675,296.58,0.004117842570692822
149.842,23.52,0.2662,296.66999999999996,0.004097830625489455
150.798,23.57,0.2647,296.71999999999997,0.00407473991948557
151.798,23.51,0.2629,296.65999999999997,0.004047031072280908
152.978,23.65,0.261,296.79999999999995,0.004017782844675987
154.347,23.62,0.2587,296.77,0.00398237709547003
156.025,23.65,0.2565,296.79999999999995,0.003948510726664333
156.893,23.72,0.2549,296.87,0.003923880640260188
157.489,23.73,0.2537,296.88,0.00390540807545708
158.376,23.76,0.2523,296.90999999999997,0.0038838567498534543
159.192,23.71,0.251,296.85999999999996,0.0038638448046500874
159.744,23.83,0.2498,296.97999999999996,0.003845372239846979
160.099,23.74,0.2488,296.89,0.0038299784358443887
161.053,23.89,0.2477,297.03999999999996,0.00381304525144154
161.594,23.86,0.2464,297.01,0.0037930333062381736
162.588,23.86,0.2451,297.01,0.0037730213610348063
163.103,23.9,0.2438,297.04999999999995,0.003753009415831439
164.093,23.9,0.2423,297.04999999999995,0.003729918709827554
165.429,24.01,0.2407,297.15999999999997,0.0037052886234234103
166.589,24.08,0.2391,297.22999999999996,0.003680658537019266
168.012,24.03,0.237,297.17999999999995,0.003648331548613827
170.138,24.09,0.235,297.23999999999995,0.003617543940608647
171.03,24.18,0.233,297.33,0.0035867563326034673
172.558,24.21,0.2313,297.35999999999996,0.0035605868657990645
174.116,24.15,0.2295,297.29999999999995,0.003532878018594402
175.701,24.22,0.2275,297.37,0.0035020904105892226
176.932,24.32,0.2256,297.46999999999997,0.003472842182984301
177.951,24.23,0.2243,297.38,0.0034528302377809343
178.819,24.25,0.2231,297.4,0.0034343576729778265
180.024,24.29,0.2218,297.44,0.0034143457277744597
181.322,24.43,0.2204,297.58,0.0033927944021708337
182.399,24.36,0.2192,297.51,0.0033743218373677255
183.087,24.44,0.218,297.59,0.0033558492725646177
183.759,24.43,0.2167,297.58,0.0033358373273612504
184.682,24.44,0.2157,297.59,0.0033204435233586604
